,FUNC-3,FUNC-2,FUNC-1,FUNC+1,FUNC+2,FUNC+3
132229,N<,>N,P<,PASS,P<,PU
132230,>N,P<,N<,P<,PU,>N
132231,P<,N<,PASS,PU,>N,>N
132232,N<,PASS,P<,>N,>N,N<PRED
132233,PASS,P<,PU,>N,N<PRED,SUBJ
132234,P<,PU,>N,N<PRED,SUBJ,N<
132235,PU,>N,>N,SUBJ,N<,PU
132236,>N,>N,N<PRED,N<,PU,ADVL
132237,>N,N<PRED,SUBJ,PU,ADVL,>N
132238,N<PRED,SUBJ,N<,ADVL,>N,>N
132239,SUBJ,N<,PU,>N,>N,P<
132240,N<,PU,ADVL,>N,P<,PU
132241,PU,ADVL,>N,P<,PU,ACC
132242,ADVL,>N,>N,PU,ACC,ACC
132243,>N,>N,P<,ACC,ACC,ADVL
132244,>N,P<,PU,ACC,ADVL,>N
132245,P<,PU,ACC,ADVL,>N,>N
132246,PU,ACC,ACC,>N,>N,P<
132247,ACC,ACC,ADVL,>N,P<,PU
132248,ACC,ADVL,>N,P<,PU,
132249,ADVL,>N,>N,PU,,
132250,>N,>N,P<,,,
132251,,,,STA,ADVL,SUB
132252,,,SUBJ,ADVL,SUB,>N
132253,,SUBJ,STA,SUB,>N,SUBJ
132254,SUBJ,STA,ADVL,>N,SUBJ,ACC
132255,STA,ADVL,SUB,SUBJ,ACC,>N
132256,ADVL,SUB,>N,ACC,>N,ACC
132257,SUB,>N,SUBJ,>N,ACC,N<
132258,>N,SUBJ,ACC,ACC,N<,P<
132259,SUBJ,ACC,>N,N<,P<,N<
132260,ACC,>N,ACC,P<,N<,P<
132261,>N,ACC,N<,N<,P<,N<
132262,ACC,N<,P<,P<,N<,>N
132263,N<,P<,N<,N<,>N,P<
132264,P<,N<,P<,>N,P<,CO
132265,N<,P<,N<,P<,CO,SUB
132266,P<,N<,>N,CO,SUB,SUBJ
132267,N<,>N,P<,SUB,SUBJ,>N
132268,>N,P<,CO,SUBJ,>N,N<
132269,P<,CO,SUB,>N,N<,CJT
132270,CO,SUB,SUBJ,N<,CJT,AUX
132271,SUB,SUBJ,>N,CJT,AUX,MV
132272,SUBJ,>N,N<,AUX,MV,ADVL
132273,>N,N<,CJT,MV,ADVL,ADVL
132274,N<,CJT,AUX,ADVL,ADVL,P<
132275,CJT,AUX,MV,ADVL,P<,N<
132276,AUX,MV,ADVL,P<,N<,>N
132277,MV,ADVL,ADVL,N<,>N,>N
132278,ADVL,ADVL,P<,>N,>N,P<
132279,ADVL,P<,N<,>N,P<,PU
132280,P<,N<,>N,P<,PU,
132281,N<,>N,>N,PU,,
132282,>N,>N,P<,,,
132283,,,,>N,P<,PU
132284,,,ADVL,P<,PU,>N
132285,,ADVL,>N,PU,>N,>N
132286,ADVL,>N,P<,>N,>N,SUBJ
132287,>N,P<,PU,>N,SUBJ,N<
132288,P<,PU,>N,SUBJ,N<,N<
132289,PU,>N,>N,N<,N<,P<
132290,>N,>N,SUBJ,N<,P<,PU
132291,>N,SUBJ,N<,P<,PU,APP
132292,SUBJ,N<,N<,PU,APP,PU
132293,N<,N<,P<,APP,PU,STA
132294,N<,P<,PU,PU,STA,>N
132295,P<,PU,APP,STA,>N,ACC
132296,PU,APP,PU,>N,ACC,ACC
132297,APP,PU,STA,ACC,ACC,P<
132298,PU,STA,>N,ACC,P<,N<
132299,STA,>N,ACC,P<,N<,H
132300,>N,ACC,ACC,N<,H,P<
132301,ACC,ACC,P<,H,P<,>N
132302,ACC,P<,N<,P<,>N,ACC
132303,P<,N<,H,>N,ACC,N<ARGS
132304,N<,H,P<,ACC,N<ARGS,>N
132305,H,P<,>N,N<ARGS,>N,P<
132306,P<,>N,ACC,>N,P<,N<ARGO
132307,>N,ACC,N<ARGS,P<,N<ARGO,P<
132308,ACC,N<ARGS,>N,N<ARGO,P<,>N
132309,N<ARGS,>N,P<,P<,>N,ACC
132310,>N,P<,N<ARGO,>N,ACC,PIV
132311,P<,N<ARGO,P<,ACC,PIV,P<
132312,N<ARGO,P<,>N,PIV,P<,N<
132313,P<,>N,ACC,P<,N<,PU
132314,>N,ACC,PIV,N<,PU,
132315,ACC,PIV,P<,PU,,
132316,PIV,P<,N<,,,
132317,,,,P<,>N,ACC
132318,,,ADVL,>N,ACC,N<
132319,,ADVL,P<,ACC,N<,>N
132320,ADVL,P<,>N,N<,>N,P<
132321,P<,>N,ACC,>N,P<,PU
132322,>N,ACC,N<,P<,PU,>N
132323,ACC,N<,>N,PU,>N,SUBJ
132324,N<,>N,P<,>N,SUBJ,STA
132325,>N,P<,PU,SUBJ,STA,ACC
132326,P<,PU,>N,STA,ACC,CO
132327,PU,>N,SUBJ,ACC,CO,CJT
132328,>N,SUBJ,STA,CO,CJT,SUBJ
132329,SUBJ,STA,ACC,CJT,SUBJ,N<
132330,STA,ACC,CO,SUBJ,N<,ADVL
132331,ACC,CO,CJT,N<,ADVL,>N
132332,CO,CJT,SUBJ,ADVL,>N,P<
132333,CJT,SUBJ,N<,>N,P<,ACC
132334,SUBJ,N<,ADVL,P<,ACC,N<
132335,N<,ADVL,>N,ACC,N<,>N
132336,ADVL,>N,P<,N<,>N,>N
132337,>N,P<,ACC,>N,>N,P<
132338,P<,ACC,N<,>N,P<,N<
132339,ACC,N<,>N,P<,N<,PU
132340,N<,>N,>N,N<,PU,
132341,>N,>N,P<,PU,,
132342,>N,P<,N<,,,
132343,,,,SUBJ,N<,>N
132344,,,>N,N<,>N,ACC
132345,,>N,SUBJ,>N,ACC,CO
132346,>N,SUBJ,N<,ACC,CO,>N
132347,SUBJ,N<,>N,CO,>N,CJT
132348,N<,>N,ACC,>N,CJT,PU
132349,>N,ACC,CO,CJT,PU,ADVL
132350,ACC,CO,>N,PU,ADVL,>N
132351,CO,>N,CJT,ADVL,>N,>N
132352,>N,CJT,PU,>N,>N,P<
132353,CJT,PU,ADVL,>N,P<,PU
132354,PU,ADVL,>N,P<,PU,STA
132355,ADVL,>N,>N,PU,STA,>N
132356,>N,>N,P<,STA,>N,ACC
132357,>N,P<,PU,>N,ACC,PU
132358,P<,PU,STA,ACC,PU,>N
132359,PU,STA,>N,PU,>N,CJT
132360,STA,>N,ACC,>N,CJT,CO
132361,>N,ACC,PU,CJT,CO,CJT
132362,ACC,PU,>N,CO,CJT,>N
132363,PU,>N,CJT,CJT,>N,ACC
132364,>N,CJT,CO,>N,ACC,ADVL
132365,CJT,CO,CJT,ACC,ADVL,>N
132366,CO,CJT,>N,ADVL,>N,P<
132367,CJT,>N,ACC,>N,P<,N<
132368,>N,ACC,ADVL,P<,N<,N<
132369,ACC,ADVL,>N,N<,N<,>N
132370,ADVL,>N,P<,N<,>N,P<
132371,>N,P<,N<,>N,P<,PU
132372,P<,N<,N<,P<,PU,SUBJ
132373,N<,N<,>N,PU,SUBJ,N<PRED
132374,N<,>N,P<,SUBJ,N<PRED,MV
132375,>N,P<,PU,N<PRED,MV,SC
132376,P<,PU,SUBJ,MV,SC,PU
132377,PU,SUBJ,N<PRED,SC,PU,P<
132378,SUBJ,N<PRED,MV,PU,P<,N<
132379,N<PRED,MV,SC,P<,N<,>N
132380,MV,SC,PU,N<,>N,P<
132381,SC,PU,P<,>N,P<,PU
132382,PU,P<,N<,P<,PU,PU
132383,P<,N<,>N,PU,PU,
132384,N<,>N,P<,PU,,
132385,>N,P<,PU,,,
132386,,,,STA,>N,ACC
132387,,,SUBJ,>N,ACC,PU
132388,,SUBJ,STA,ACC,PU,ACC
132389,SUBJ,STA,>N,PU,ACC,N<PRED
132390,STA,>N,ACC,ACC,N<PRED,MV
132391,>N,ACC,PU,N<PRED,MV,ADVL
132392,ACC,PU,ACC,MV,ADVL,ADVL
132393,PU,ACC,N<PRED,ADVL,ADVL,PU
132394,ACC,N<PRED,MV,ADVL,PU,SUBJ
132395,N<PRED,MV,ADVL,PU,SUBJ,CJT
132396,MV,ADVL,ADVL,SUBJ,CJT,>N
132397,ADVL,ADVL,PU,CJT,>N,ACC
132398,ADVL,PU,SUBJ,>N,ACC,N<ARGS
132399,PU,SUBJ,CJT,ACC,N<ARGS,P<
132400,SUBJ,CJT,>N,N<ARGS,P<,N<
132401,CJT,>N,ACC,P<,N<,>N
132402,>N,ACC,N<ARGS,N<,>N,P<
132403,ACC,N<ARGS,P<,>N,P<,>A
132404,N<ARGS,P<,N<,P<,>A,N<
132405,P<,N<,>N,>A,N<,CO
132406,N<,>N,P<,N<,CO,CJT
132407,>N,P<,>A,CO,CJT,N<
132408,P<,>A,N<,CJT,N<,>N
132409,>A,N<,CO,N<,>N,P<
132410,N<,CO,CJT,>N,P<,PU
132411,CO,CJT,N<,P<,PU,APP
132412,CJT,N<,>N,PU,APP,PU
132413,N<,>N,P<,APP,PU,
132414,>N,P<,PU,PU,,
132415,P<,PU,APP,,,
132416,,,,STA,MV,>N
132417,,,SUBJ,MV,>N,>N
132418,,SUBJ,STA,>N,>N,ACC
132419,SUBJ,STA,MV,>N,ACC,N<
132420,STA,MV,>N,ACC,N<,P<
132421,MV,>N,>N,N<,P<,ADVL
132422,>N,>N,ACC,P<,ADVL,>N
132423,>N,ACC,N<,ADVL,>N,ACC
132424,ACC,N<,P<,>N,ACC,N<
132425,N<,P<,ADVL,ACC,N<,CO
132426,P<,ADVL,>N,N<,CO,PU
132427,ADVL,>N,ACC,CO,PU,ADVL
132428,>N,ACC,N<,PU,ADVL,PU
132429,ACC,N<,CO,ADVL,PU,CJT
132430,N<,CO,PU,PU,CJT,MV
132431,CO,PU,ADVL,CJT,MV,>N
132432,PU,ADVL,PU,MV,>N,ACC
132433,ADVL,PU,CJT,>N,ACC,N<ARG
132434,PU,CJT,MV,ACC,N<ARG,P<
132435,CJT,MV,>N,N<ARG,P<,N<
132436,MV,>N,ACC,P<,N<,PU
132437,>N,ACC,N<ARG,N<,PU,SUBJ
132438,ACC,N<ARG,P<,PU,SUBJ,>A
132439,N<ARG,P<,N<,SUBJ,>A,ADVL
132440,P<,N<,PU,>A,ADVL,N<PRED
132441,N<,PU,SUBJ,ADVL,N<PRED,>N
132442,PU,SUBJ,>A,N<PRED,>N,ACC
132443,SUBJ,>A,ADVL,>N,ACC,N<
132444,>A,ADVL,N<PRED,ACC,N<,P<
132445,ADVL,N<PRED,>N,N<,P<,ADVL
132446,N<PRED,>N,ACC,P<,ADVL,PU
132447,>N,ACC,N<,ADVL,PU,
132448,ACC,N<,P<,PU,,
132449,N<,P<,ADVL,,,
132450,,,,A<,P<,PU
132451,,,ADVL,P<,PU,SUBJ
132452,,ADVL,A<,PU,SUBJ,STA
132453,ADVL,A<,P<,SUBJ,STA,>N
132454,A<,P<,PU,STA,>N,>N
132455,P<,PU,SUBJ,>N,>N,ACC
132456,PU,SUBJ,STA,>N,ACC,PIV
132457,SUBJ,STA,>N,ACC,PIV,>N
132458,STA,>N,>N,PIV,>N,P<
132459,>N,>N,ACC,>N,P<,PU
132460,>N,ACC,PIV,P<,PU,APP
132461,ACC,PIV,>N,PU,APP,PU
132462,PIV,>N,P<,APP,PU,PU
132463,>N,P<,PU,PU,PU,ADVL
132464,P<,PU,APP,PU,ADVL,ACC
132465,PU,APP,PU,ADVL,ACC,ACC
132466,APP,PU,PU,ACC,ACC,N<
132467,PU,PU,ADVL,ACC,N<,ACC
132468,PU,ADVL,ACC,N<,ACC,PU
132469,ADVL,ACC,ACC,ACC,PU,MV
132470,ACC,ACC,N<,PU,MV,PU
132471,ACC,N<,ACC,MV,PU,ADVL
132472,N<,ACC,PU,PU,ADVL,>N
132473,ACC,PU,MV,ADVL,>N,>N
132474,PU,MV,PU,>N,>N,P<
132475,MV,PU,ADVL,>N,P<,SUBJ
132476,PU,ADVL,>N,P<,SUBJ,N<
132477,ADVL,>N,>N,SUBJ,N<,MV
132478,>N,>N,P<,N<,MV,PU
132479,>N,P<,SUBJ,MV,PU,
132480,P<,SUBJ,N<,PU,,
132481,SUBJ,N<,MV,,,
132482,,,,PU,>N,SUBJ
132483,,,ADVL,>N,SUBJ,PU
132484,,ADVL,PU,SUBJ,PU,SUBJ
132485,ADVL,PU,>N,PU,SUBJ,N<PRED
132486,PU,>N,SUBJ,SUBJ,N<PRED,>N
132487,>N,SUBJ,PU,N<PRED,>N,ACC
132488,SUBJ,PU,SUBJ,>N,ACC,N<
132489,PU,SUBJ,N<PRED,ACC,N<,N<
132490,SUBJ,N<PRED,>N,N<,N<,PU
132491,N<PRED,>N,ACC,N<,PU,ADVL
132492,>N,ACC,N<,PU,ADVL,STA
132493,ACC,N<,N<,ADVL,STA,SUB
132494,N<,N<,PU,STA,SUB,>N
132495,N<,PU,ADVL,SUB,>N,SUBJ
132496,PU,ADVL,STA,>N,SUBJ,ACC
132497,ADVL,STA,SUB,SUBJ,ACC,ACC
132498,STA,SUB,>N,ACC,ACC,>N
132499,SUB,>N,SUBJ,ACC,>N,N<
132500,>N,SUBJ,ACC,>N,N<,ADVL
132501,SUBJ,ACC,ACC,N<,ADVL,P<
132502,ACC,ACC,>N,ADVL,P<,N<
132503,ACC,>N,N<,P<,N<,PU
132504,>N,N<,ADVL,N<,PU,ADVL
132505,N<,ADVL,P<,PU,ADVL,ACC
132506,ADVL,P<,N<,ADVL,ACC,PIV
132507,P<,N<,PU,ACC,PIV,P<
132508,N<,PU,ADVL,PIV,P<,N<
132509,PU,ADVL,ACC,P<,N<,PU
132510,ADVL,ACC,PIV,N<,PU,
132511,ACC,PIV,P<,PU,,
132512,PIV,P<,N<,,,
132513,,,,SC,ACC,SUBJ
132514,,,STA,ACC,SUBJ,N<
132515,,STA,SC,SUBJ,N<,PIV
132516,STA,SC,ACC,N<,PIV,PU
132517,SC,ACC,SUBJ,PIV,PU,P<
132518,ACC,SUBJ,N<,PU,P<,PU
132519,SUBJ,N<,PIV,P<,PU,ADVL
132520,N<,PIV,PU,PU,ADVL,>N
132521,PIV,PU,P<,ADVL,>N,P<
132522,PU,P<,PU,>N,P<,N<
132523,P<,PU,ADVL,P<,N<,P<
132524,PU,ADVL,>N,N<,P<,N<
132525,ADVL,>N,P<,P<,N<,PU
132526,>N,P<,N<,N<,PU,ADVL
132527,P<,N<,P<,PU,ADVL,PU
132528,N<,P<,N<,ADVL,PU,CJT
132529,P<,N<,PU,PU,CJT,SUBJ
132530,N<,PU,ADVL,CJT,SUBJ,MV
132531,PU,ADVL,PU,SUBJ,MV,SA
132532,ADVL,PU,CJT,MV,SA,>N
132533,PU,CJT,SUBJ,SA,>N,P<
132534,CJT,SUBJ,MV,>N,P<,N<
132535,SUBJ,MV,SA,P<,N<,P<
132536,MV,SA,>N,N<,P<,N<
132537,SA,>N,P<,P<,N<,CO
132538,>N,P<,N<,N<,CO,CJT
132539,P<,N<,P<,CO,CJT,PU
132540,N<,P<,N<,CJT,PU,
132541,P<,N<,CO,PU,,
132542,N<,CO,CJT,,,
132543,,,,>N,SUBJ,N<
132544,,,ADVL,SUBJ,N<,P<
132545,,ADVL,>N,N<,P<,SUBJ
132546,ADVL,>N,SUBJ,P<,SUBJ,N<
132547,>N,SUBJ,N<,SUBJ,N<,SA
132548,SUBJ,N<,P<,N<,SA,>N
132549,N<,P<,SUBJ,SA,>N,P<
132550,P<,SUBJ,N<,>N,P<,CO
132551,SUBJ,N<,SA,P<,CO,CJT
132552,N<,SA,>N,CO,CJT,>N
132553,SA,>N,P<,CJT,>N,P<
132554,>N,P<,CO,>N,P<,ADVL
132555,P<,CO,CJT,P<,ADVL,PU
132556,CO,CJT,>N,ADVL,PU,>N
132557,CJT,>N,P<,PU,>N,SUBJ
132558,>N,P<,ADVL,>N,SUBJ,N<
132559,P<,ADVL,PU,SUBJ,N<,P<
132560,ADVL,PU,>N,N<,P<,N<
132561,PU,>N,SUBJ,P<,N<,STA
132562,>N,SUBJ,N<,N<,STA,MV
132563,SUBJ,N<,P<,STA,MV,ADVL
132564,N<,P<,N<,MV,ADVL,PU
132565,P<,N<,STA,ADVL,PU,
132566,N<,STA,MV,PU,,
132567,STA,MV,ADVL,,,
132568,,,,N<,>N,P<
132569,,,SUBJ,>N,P<,ADVL
132570,,SUBJ,N<,P<,ADVL,STA
132571,SUBJ,N<,>N,ADVL,STA,>N
132572,N<,>N,P<,STA,>N,ACC
132573,>N,P<,ADVL,>N,ACC,ADVL
132574,P<,ADVL,STA,ACC,ADVL,P<
132575,ADVL,STA,>N,ADVL,P<,>N
132576,STA,>N,ACC,P<,>N,>N
132577,>N,ACC,ADVL,>N,>N,ACC
132578,ACC,ADVL,P<,>N,ACC,N<
132579,ADVL,P<,>N,ACC,N<,N<ARGO
132580,P<,>N,>N,N<,N<ARGO,P<
132581,>N,>N,ACC,N<ARGO,P<,ACC
132582,>N,ACC,N<,P<,ACC,N<ARGS
132583,ACC,N<,N<ARGO,ACC,N<ARGS,>N
132584,N<,N<ARGO,P<,N<ARGS,>N,P<
132585,N<ARGO,P<,ACC,>N,P<,ADVL
132586,P<,ACC,N<ARGS,P<,ADVL,PU
132587,ACC,N<ARGS,>N,ADVL,PU,P<
132588,N<ARGS,>N,P<,PU,P<,PU
132589,>N,P<,ADVL,P<,PU,>N
132590,P<,ADVL,PU,PU,>N,ACC
132591,ADVL,PU,P<,>N,ACC,N<
132592,PU,P<,PU,ACC,N<,ADVL
132593,P<,PU,>N,N<,ADVL,>N
132594,PU,>N,ACC,ADVL,>N,>N
132595,>N,ACC,N<,>N,>N,P<
132596,ACC,N<,ADVL,>N,P<,N<
132597,N<,ADVL,>N,P<,N<,PU
132598,ADVL,>N,>N,N<,PU,
132599,>N,>N,P<,PU,,
132600,>N,P<,N<,,,
132601,,,,SUBJ,STA,PIV
132602,,,>N,STA,PIV,>N
132603,,>N,SUBJ,PIV,>N,P<
132604,>N,SUBJ,STA,>N,P<,N<
132605,SUBJ,STA,PIV,P<,N<,>N
132606,STA,PIV,>N,N<,>N,P<
132607,PIV,>N,P<,>N,P<,CO
132608,>N,P<,N<,P<,CO,CJT
132609,P<,N<,>N,CO,CJT,ACC
132610,N<,>N,P<,CJT,ACC,N<
132611,>N,P<,CO,ACC,N<,P<
132612,P<,CO,CJT,N<,P<,ACC
132613,CO,CJT,ACC,P<,ACC,N<
132614,CJT,ACC,N<,ACC,N<,ACC
132615,ACC,N<,P<,N<,ACC,>N
132616,N<,P<,ACC,ACC,>N,P<
132617,P<,ACC,N<,>N,P<,N<
132618,ACC,N<,ACC,P<,N<,PIV
132619,N<,ACC,>N,N<,PIV,P<
132620,ACC,>N,P<,PIV,P<,ACC
132621,>N,P<,N<,P<,ACC,N<
132622,P<,N<,PIV,ACC,N<,N<ARGO
132623,N<,PIV,P<,N<,N<ARGO,P<
132624,PIV,P<,ACC,N<ARGO,P<,PU
132625,P<,ACC,N<,P<,PU,
132626,ACC,N<,N<ARGO,PU,,
132627,N<,N<ARGO,P<,,,
132628,,,,PU,>N,SUBJ
132629,,,ADVL,>N,SUBJ,N<
132630,,ADVL,PU,SUBJ,N<,>N
132631,ADVL,PU,>N,N<,>N,P<
132632,PU,>N,SUBJ,>N,P<,STA
132633,>N,SUBJ,N<,P<,STA,>N
132634,SUBJ,N<,>N,STA,>N,ACC
132635,N<,>N,P<,>N,ACC,N<ARGS
132636,>N,P<,STA,ACC,N<ARGS,>N
132637,P<,STA,>N,N<ARGS,>N,P<
132638,STA,>N,ACC,>N,P<,N<
132639,>N,ACC,N<ARGS,P<,N<,>N
132640,ACC,N<ARGS,>N,N<,>N,P<
132641,N<ARGS,>N,P<,>N,P<,PIV
132642,>N,P<,N<,P<,PIV,>N
132643,P<,N<,>N,PIV,>N,P<
132644,N<,>N,P<,>N,P<,N<ARGS
132645,>N,P<,PIV,P<,N<ARGS,>N
132646,P<,PIV,>N,N<ARGS,>N,P<
132647,PIV,>N,P<,>N,P<,N<
132648,>N,P<,N<ARGS,P<,N<,N<ARGO
132649,P<,N<ARGS,>N,N<,N<ARGO,SUB
132650,N<ARGS,>N,P<,N<ARGO,SUB,>N
132651,>N,P<,N<,SUB,>N,SUBJ
132652,P<,N<,N<ARGO,>N,SUBJ,N<PRED
132653,N<,N<ARGO,SUB,SUBJ,N<PRED,SUBJ
132654,N<ARGO,SUB,>N,N<PRED,SUBJ,ACC
132655,SUB,>N,SUBJ,SUBJ,ACC,P<
132656,>N,SUBJ,N<PRED,ACC,P<,MV
132657,SUBJ,N<PRED,SUBJ,P<,MV,PIV
132658,N<PRED,SUBJ,ACC,MV,PIV,>N
132659,SUBJ,ACC,P<,PIV,>N,P<
132660,ACC,P<,MV,>N,P<,N<
132661,P<,MV,PIV,P<,N<,P<
132662,MV,PIV,>N,N<,P<,PU
132663,PIV,>N,P<,P<,PU,
132664,>N,P<,N<,PU,,
132665,P<,N<,P<,,,
132666,,,,SUBJ,N<,STA
132667,,,>N,N<,STA,SC
132668,,>N,SUBJ,STA,SC,N<
132669,>N,SUBJ,N<,SC,N<,P<
132670,SUBJ,N<,STA,N<,P<,PU
132671,N<,STA,SC,P<,PU,>N
132672,STA,SC,N<,PU,>N,SUBJ
132673,SC,N<,P<,>N,SUBJ,CJT
132674,N<,P<,PU,SUBJ,CJT,>N
132675,P<,PU,>N,CJT,>N,ADVL
132676,PU,>N,SUBJ,>N,ADVL,SC
132677,>N,SUBJ,CJT,ADVL,SC,N<
132678,SUBJ,CJT,>N,SC,N<,P<
132679,CJT,>N,ADVL,N<,P<,PU
132680,>N,ADVL,SC,P<,PU,SA
132681,ADVL,SC,N<,PU,SA,N<PRED
132682,SC,N<,P<,SA,N<PRED,>N
132683,N<,P<,PU,N<PRED,>N,>N
132684,P<,PU,SA,>N,>N,ACC
132685,PU,SA,N<PRED,>N,ACC,PU
132686,SA,N<PRED,>N,ACC,PU,
132687,N<PRED,>N,>N,PU,,
132688,>N,>N,ACC,,,
132689,,,,>N,ACC,N<
132690,,,STA,ACC,N<,KOMP<
132691,,STA,>N,N<,KOMP<,SUBJ
132692,STA,>N,ACC,KOMP<,SUBJ,PU
132693,>N,ACC,N<,SUBJ,PU,CO
132694,ACC,N<,KOMP<,PU,CO,CJT
132695,N<,KOMP<,SUBJ,CO,CJT,ACC
132696,KOMP<,SUBJ,PU,CJT,ACC,ADVL
132697,SUBJ,PU,CO,ACC,ADVL,ADVL
132698,PU,CO,CJT,ADVL,ADVL,MV
132699,CO,CJT,ACC,ADVL,MV,>N
132700,CJT,ACC,ADVL,MV,>N,SUBJ
132701,ACC,ADVL,ADVL,>N,SUBJ,N<
132702,ADVL,ADVL,MV,SUBJ,N<,PU
132703,ADVL,MV,>N,N<,PU,
132704,MV,>N,SUBJ,PU,,
132705,>N,SUBJ,N<,,,
132706,,,,SUBJ,SUBJ,N<
132707,,,>N,SUBJ,N<,>N
132708,,>N,SUBJ,N<,>N,ACC
132709,>N,SUBJ,SUBJ,>N,ACC,N<
132710,SUBJ,SUBJ,N<,ACC,N<,P<
132711,SUBJ,N<,>N,N<,P<,N<
132712,N<,>N,ACC,P<,N<,N<
132713,>N,ACC,N<,N<,N<,>N
132714,ACC,N<,P<,N<,>N,P<
132715,N<,P<,N<,>N,P<,STA
132716,P<,N<,N<,P<,STA,>N
132717,N<,N<,>N,STA,>N,ACC
132718,N<,>N,P<,>N,ACC,N<
132719,>N,P<,STA,ACC,N<,PU
132720,P<,STA,>N,N<,PU,SUBJ
132721,STA,>N,ACC,PU,SUBJ,N<PRED
132722,>N,ACC,N<,SUBJ,N<PRED,ADVL
132723,ACC,N<,PU,N<PRED,ADVL,>N
132724,N<,PU,SUBJ,ADVL,>N,ACC
132725,PU,SUBJ,N<PRED,>N,ACC,N<
132726,SUBJ,N<PRED,ADVL,ACC,N<,P<
132727,N<PRED,ADVL,>N,N<,P<,>N
132728,ADVL,>N,ACC,P<,>N,ACC
132729,>N,ACC,N<,>N,ACC,N<
132730,ACC,N<,P<,ACC,N<,>N
132731,N<,P<,>N,N<,>N,P<
132732,P<,>N,ACC,>N,P<,PU
132733,>N,ACC,N<,P<,PU,
132734,ACC,N<,>N,PU,,
132735,N<,>N,P<,,,
132736,,,,ADVL,PU,ADVL
132737,,,STA,PU,ADVL,>N
132738,,STA,ADVL,ADVL,>N,P<
132739,STA,ADVL,PU,>N,P<,N<
132740,ADVL,PU,ADVL,P<,N<,P<
132741,PU,ADVL,>N,N<,P<,N<
132742,ADVL,>N,P<,P<,N<,PU
132743,>N,P<,N<,N<,PU,ACC
132744,P<,N<,P<,PU,ACC,ACC
132745,N<,P<,N<,ACC,ACC,N<
132746,P<,N<,PU,ACC,N<,>N
132747,N<,PU,ACC,N<,>N,P<
132748,PU,ACC,ACC,>N,P<,CO
132749,ACC,ACC,N<,P<,CO,ADVL
132750,ACC,N<,>N,CO,ADVL,CJT
132751,N<,>N,P<,ADVL,CJT,>N
132752,>N,P<,CO,CJT,>N,>N
132753,P<,CO,ADVL,>N,>N,ACC
132754,CO,ADVL,CJT,>N,ACC,PU
132755,ADVL,CJT,>N,ACC,PU,ADVL
132756,CJT,>N,>N,PU,ADVL,ADVL
132757,>N,>N,ACC,ADVL,ADVL,>N
132758,>N,ACC,PU,ADVL,>N,ACC
132759,ACC,PU,ADVL,>N,ACC,PU
132760,PU,ADVL,ADVL,ACC,PU,SUBJ
132761,ADVL,ADVL,>N,PU,SUBJ,N<PRED
132762,ADVL,>N,ACC,SUBJ,N<PRED,SC
132763,>N,ACC,PU,N<PRED,SC,N<
132764,ACC,PU,SUBJ,SC,N<,>N
132765,PU,SUBJ,N<PRED,N<,>N,P<
132766,SUBJ,N<PRED,SC,>N,P<,PU
132767,N<PRED,SC,N<,P<,PU,
132768,SC,N<,>N,PU,,
132769,N<,>N,P<,,,
132770,,,,SUBJ,N<,>N
132771,,,>N,N<,>N,P<
132772,,>N,SUBJ,>N,P<,N<
132773,>N,SUBJ,N<,P<,N<,P<
132774,SUBJ,N<,>N,N<,P<,N<
132775,N<,>N,P<,P<,N<,>N
132776,>N,P<,N<,N<,>N,P<
132777,P<,N<,P<,>N,P<,STA
132778,N<,P<,N<,P<,STA,ACC
132779,P<,N<,>N,STA,ACC,>P
132780,N<,>N,P<,ACC,>P,ADVL
132781,>N,P<,STA,>P,ADVL,>N
132782,P<,STA,ACC,ADVL,>N,>N
132783,STA,ACC,>P,>N,>N,P<
132784,ACC,>P,ADVL,>N,P<,N<
132785,>P,ADVL,>N,P<,N<,P<
132786,ADVL,>N,>N,N<,P<,PU
132787,>N,>N,P<,P<,PU,N<PRED
132788,>N,P<,N<,PU,N<PRED,ADVL
132789,P<,N<,P<,N<PRED,ADVL,>N
132790,N<,P<,PU,ADVL,>N,P<
132791,P<,PU,N<PRED,>N,P<,N<
132792,PU,N<PRED,ADVL,P<,N<,PU
132793,N<PRED,ADVL,>N,N<,PU,CO
132794,ADVL,>N,P<,PU,CO,CJT
132795,>N,P<,N<,CO,CJT,ADVL
132796,P<,N<,PU,CJT,ADVL,>N
132797,N<,PU,CO,ADVL,>N,>N
132798,PU,CO,CJT,>N,>N,P<
132799,CO,CJT,ADVL,>N,P<,N<
132800,CJT,ADVL,>N,P<,N<,P<
132801,ADVL,>N,>N,N<,P<,PU
132802,>N,>N,P<,P<,PU,N<PRED
132803,>N,P<,N<,PU,N<PRED,ADVL
132804,P<,N<,P<,N<PRED,ADVL,>N
132805,N<,P<,PU,ADVL,>N,>N
132806,P<,PU,N<PRED,>N,>N,P<
132807,PU,N<PRED,ADVL,>N,P<,N<
132808,N<PRED,ADVL,>N,P<,N<,PU
132809,ADVL,>N,>N,N<,PU,ADVL
132810,>N,>N,P<,PU,ADVL,N<PRED
132811,>N,P<,N<,ADVL,N<PRED,>N
132812,P<,N<,PU,N<PRED,>N,ACC
132813,N<,PU,ADVL,>N,ACC,N<ARGS
132814,PU,ADVL,N<PRED,ACC,N<ARGS,>N
132815,ADVL,N<PRED,>N,N<ARGS,>N,P<
